Champ,Référence,Code Critère,Critères,% Estimation,Remarques,Preuves
R1,R1.1,R1.1.1,"Domaines de recherche bien définis",85%,"Politique de recherche documentée (LMCS/LCSI) • Priorités vulgarisées via séminaires et bilans annuels","• Documents de politique de recherche (cf. réponse Directeurs ZEGOUR/BENATCHBA) • Calendriers de manifestations"
R1,R1.1,R1.1.2,"Structure claire des axes de recherche",80%,"Nouvelles entités de recherche alignées avec comités scientifiques • Suivi éthique formalisé","• Rapport d'intégrité académique 2023 • Structure des 4 équipes LCSI"
R1,R1.3,R1.3.1,"Bilans annuels",70%,"Système d'assurance qualité via bilans 2016-2023 • Évaluations internes documentées","• Bilans LCSI accessibles • Procédures d'évaluation du Directeur KHELIFATI"
R1,R1.3,R1.3.4,"Structure évolutive",60%,"Plan d'amélioration continue incluant des actions concrètes (ex: mise à jour des équipements)","• Rapport d'actions 2022-2023 • Budget alloué (Mme OULD BEZIOU)"
R1,R1.4,R1.4.1,"Alignement des projets",85%,"Contrôle d'alignement via comités scientifiques • Intégration obligatoire des nouvelles unités","• Liste des projets PRFU alignés • Procès-verbal du comité 2023"
R1,R1.5,R1.5.2,"Sujets proposés par professeurs",30%,"Mécanismes d'identification des besoins locaux via partenariats (ex: CHU Ibn Rochd, BRANDT Electronics)","• Rapport des besoins socio-économiques 2021 • Convention avec le LNCSS"
R1,R1.6,R1.6.1,"Manque de ressources",40%,"Allocation budgétaire priorisée (ex: 70% pour les équipements, 30% pour la mobilité) • Maintenance calibrée des équipements","• Budget 2023 (Sous-directrice OULD BEZIOU) • Liste des équipements critiques"
R1,R1.6,R1.6.2,"Valorisation des résultats",50%,"Financements pour conférences • Accompagnement au dépôt de brevets (ex: 2 brevets en 2022)","• Politique de valorisation • Exemples d'innovations récentes"
R2,R2.2,R2.2.2,"Partenariats potentiels",65%,"Stratégie de partenariat informelle • Annuaire mis à jour (LNCSS, Hôpital Aïn Taya)","• Convention type • Liste des partenaires 2023"
R2,R2.3,R2.3.1,"Projets PFE dominants",90%,"Critères de sélection internationaux : expertise technique et alignement géopolitique • 12 projets internationaux (2020-2023)","• Liste des partenaires bannis • Rapport de mobilité"
R3,R3.1,R3.1.1,"Implémentation lente",60%,"Intégration des résultats dans les formations 1er/2ème cycles (ex: 17 modules mis à jour)","• Liste des projets de stage alignés • Catalogue des formations"
R3,R3.3,R3.3.2,"Absence de réseaux sociaux",65%,"Stratégie de vulgarisation via articles et portes ouvertes • Engagement étudiant faible","• Événements PhD Days • Publications sur site ESI"
